appId	appName	stageId	ipBytes	cachedBytes	shuffleBytesRead	shuffleBytesWritten	opBytes	maxHeap	maxCores	yarnOverhead	numExecs	sparkMemoryFraction	offHeap	offHeapSize	serializer	gcAlgo	newRatio	failedExecs	maxStorage	maxExecution	totalTime	maxUsedHeap	minUsageGap	maxOldGenUsed	totalGCTime	totalNumYoungGC	totalNumOldGC
application_1508545462036_0110	micro	7	137819156	0	0	17101639	0	1073741824	1	1073741824	10	0.40	0	0	java	parallel	2	10	255514159	253125949	1015872	899877600	173864224	114497	626876056	3483	232
application_1508545462036_0110	micro	8	0	0	41043934	8180244	0	1073741824	1	1073741824	10	0.40	0	0	java	parallel	2	10	143493751	253125949	126888	872632720	201109104	2924	582326224	43	2
application_1508545462036_0110	micro	9	0	0	11798	0	0	1073741824	1	1073741824	10	0.40	0	0	java	parallel	2	1	0	0	37	0	1073741824	0	0	0	0
application_1508545462036_0111	micro	0	132744290	134217728	0	0	0	1073741824	1	1073741824	10	0.40	0	0	java	parallel	5	10	278457278	0	2141202	1002934200	70807624	249560	893082224	5961	517
application_1508545462036_0111	micro	1	134618885	0	0	0	0	1073741824	1	1073741824	10	0.40	0	0	java	parallel	5	9	269435449	0	27259	887578968	186162856	4713	831051936	68	6
application_1508545462036_0111	micro	2	137818902	0	0	17139307	0	1073741824	1	1073741824	10	0.40	0	0	java	parallel	5	10	269480989	251920384	1073719	1003734144	70007680	144842	859880560	2968	184
application_1508545462036_0111	micro	3	0	0	41134336	9888683	0	1073741824	1	1073741824	10	0.40	0	0	java	parallel	5	10	262764581	235143168	138811	969766632	103975192	3358	847889752	83	3
application_1508545462036_0111	micro	4	0	0	11798	0	0	1073741824	1	1073741824	10	0.40	0	0	java	parallel	5	1	0	0	44	0	1073741824	0	0	0	0
application_1508545462036_0111	micro	5	135542143	134217728	0	0	0	1073741824	1	1073741824	10	0.40	0	0	java	parallel	5	10	279709793	251920384	2071122	1008262232	65479592	238316	893164056	5986	396
application_1508545462036_0111	micro	6	134619323	0	0	0	0	1073741824	1	1073741824	10	0.40	0	0	java	parallel	5	9	269670078	0	25854	906442896	167298928	5050	818328352	59	6
application_1508545462036_0111	micro	7	137818858	0	0	17126299	0	1073741824	1	1073741824	10	0.40	0	0	java	parallel	5	10	278871660	250542889	1057373	968537000	105204824	157115	866084512	2839	208
application_1508545462036_0111	micro	8	0	0	41103117	25654321	0	1073741824	1	1073741824	10	0.40	0	0	java	parallel	5	10	262337063	250542889	171083	907184488	166557336	3063	811923520	90	2
application_1508545462036_0111	micro	9	0	0	11798	0	0	1073741824	1	1073741824	10	0.40	0	0	java	parallel	5	1	0	0	42	0	1073741824	0	0	0	0
application_1508545462036_0112	micro	0	132744300	134217728	0	0	0	1073741824	1	1073741824	10	0.40	0	0	java	parallel	8	10	287912928	0	2183095	1018164824	55577000	352577	953811632	6042	637
application_1508545462036_0112	micro	1	134619034	0	0	0	0	1073741824	1	1073741824	10	0.40	0	0	java	parallel	8	9	287788421	0	27952	944742288	128999536	6432	902183080	76	5
